Wdft_RegionIdentifier,Census_IsTouchEnabled,Census_IsSecureBootEnabled,IsSxsPassiveMode,Census_MDC2FormFactor,Census_OSWUAutoUpdateOptionsName,OsSuite,Census_IsPortableOperatingSystem,Census_ActivationChannel,Census_OSArchitecture,AutoSampleOptIn,Census_GenuineStateName,Census_IsPenCapable,Processor,ProductName,Census_PrimaryDiskTypeName,Platform,HasTpm,MachineIdentifier,Census_HasOpticalDiskDrive,SkuEdition,IsBeta,OsPlatformSubRelease,Census_FlightRing,Census_OSInstallTypeName,Census_DeviceFamily,SmartScreen,HasDetections
10.0,0,1,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,c50d5777cc2b5ea52da2059fa27f236f,0,Home,0,rs4,Retail,Upgrade,Windows.Desktop,RequireAdmin,0
9.0,0,1,0,Notebook,Notify,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,a5ee44835ca5e9cd20c4b11597cab058,0,Pro,0,rs2,Retail,Update,Windows.Desktop,RequireAdmin,0
7.0,0,0,0,Notebook,UNKNOWN,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,5d44286076cafe2e884840af6d774db8,0,Pro,0,rs1,Retail,IBSClean,Windows.Desktop,RequireAdmin,0
15.0,0,0,0,Notebook,UNKNOWN,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,UNKNOWN,windows10,1,e008bc68022eb8ea72143ceda937bd80,0,Home,0,rs3,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,1
3.0,0,1,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,ae60d392a321c295b6e34c05e7068a38,0,Home,0,rs4,Retail,Refresh,Windows.Desktop,RequireAdmin,1
15.0,0,1,0,PCOther,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,8026956afaecbeb46a7ad3d1d14ecd78,0,Home,0,rs1,Retail,Reset,Windows.Desktop,RequireAdmin,1
1.0,0,0,0,Notebook,UNKNOWN,256,0,Volume:GVLK,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,e3e971aa168e0516db7b9146bbbda806,0,Pro,0,rs3,Retail,IBSClean,Windows.Desktop,ExistsNotSet,0
3.0,0,0,0,Desktop,FullAuto,768,0,OEM:NONSLP,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,7ba85f8fbbd6c1f355d2aa44ec0a0c05,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,1
15.0,0,1,0,Notebook,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,da0e57f5359a4870ceb78ee03f71e748,0,Home,0,rs3,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,0
15.0,0,1,0,Notebook,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,204df0bfb6952509c5da003d8e21dec8,0,Home,0,rs3,Retail,Upgrade,Windows.Desktop,RequireAdmin,1
1.0,0,1,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,3dcccfce373dff93cec15baed95bde24,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,1
10.0,0,0,0,Notebook,UNKNOWN,768,0,Retail,amd64,0,OFFLINE,0,x64,win8defender,HDD,windows10,1,e43cd55d59cda57e5583de9273b6d628,0,Home,0,rs2,Unknown,IBSClean,Windows.Desktop,ExistsNotSet,1
10.0,0,0,0,Desktop,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,Unspecified,windows10,1,3c271b5b33f9e7dc346db4b6f5157ab9,1,Home,0,th2,Retail,Update,Windows.Desktop,RequireAdmin,0
1.0,0,0,0,Desktop,FullAuto,768,0,OEM:NONSLP,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,515da8d471e1ff970d8ebffdc80be60a,0,Home,0,rs4,Retail,Upgrade,Windows.Desktop,RequireAdmin,1
1.0,0,0,0,Notebook,Notify,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,Unspecified,windows10,1,707cb4aec581dd39a7a44569e78ad6db,0,Home,0,rs3,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,0
11.0,0,1,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,bd63fbd3511c2014f6a2c5140cde9059,0,Home,0,rs3,Retail,Update,Windows.Desktop,RequireAdmin,0
5.0,0,0,0,Notebook,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,5249ec33da79dfd3b468052de645e34e,0,Home,0,rs1,Retail,Refresh,Windows.Desktop,RequireAdmin,1
1.0,0,1,0,Notebook,Notify,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,4f5e178add90f289d5848c3b53642849,0,Home,0,rs3,Retail,Upgrade,Windows.Desktop,RequireAdmin,0
10.0,0,1,0,Desktop,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,2f938ba980a354fcb0d4b60ede459bf1,0,Home,0,rs4,Retail,Update,Windows.Desktop,RequireAdmin,0
11.0,0,1,0,Notebook,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,172ac89bc97c663f4f9f4d89c29a8cc5,0,Home,0,rs2,Retail,Update,Windows.Desktop,ExistsNotSet,0
7.0,0,0,0,Desktop,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,Unspecified,windows10,1,618aa1a6705d5265cd76a94065a7b24b,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,Prompt,1
10.0,0,1,0,Notebook,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,af54bfd47ade9d46d76e93dc74b5b71e,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,0
15.0,0,0,0,Notebook,UNKNOWN,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,3a422b00278739e02f1b6504b42f9ba8,0,Pro,0,rs4,Retail,IBSClean,Windows.Desktop,ExistsNotSet,1
12.0,0,0,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,59f89074fd90f19961e774a1293fa2d4,0,Home,0,rs4,Unknown,UUPUpgrade,Windows.Desktop,ExistsNotSet,0
1.0,0,1,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,4ce439816df0cc829da2a59328c337d7,0,Home,0,rs3,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,0
11.0,0,0,0,Desktop,FullAuto,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,192a878c36bbc4ef9322ce0c26b8e6aa,0,Pro,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,1
7.0,0,1,0,Desktop,FullAuto,256,0,Volume:MAK,amd64,0,IS_GENUINE,0,x64,win8defender,UNKNOWN,windows10,1,be70183b8e4d5fe17feeb2e75b2bcc33,0,Pro,0,rs4,Retail,IBSClean,Windows.Desktop,ExistsNotSet,1
10.0,0,1,0,Notebook,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,31b1a6dfe6efd91dce29a5328052b52e,0,Home,0,rs3,Retail,Update,Windows.Desktop,ExistsNotSet,1
15.0,0,1,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,b651d2fc5d0919d1084d824eec8a99aa,0,Home,0,rs4,Unknown,UUPUpgrade,Windows.Desktop,ExistsNotSet,1
11.0,0,1,0,Desktop,FullAuto,256,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,933b2c9c67bc2b3da1ad3ed325740bfe,1,Pro,0,rs4,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,1
11.0,0,0,0,Notebook,UNKNOWN,256,0,Volume:GVLK,amd64,0,INVALID_LICENSE,0,x64,win8defender,HDD,windows10,1,7698d407f96fdc7efee13864383b9755,0,Pro,0,th1,NOT_SET,IBSClean,Windows.Desktop,RequireAdmin,0
7.0,1,1,0,Detachable,Notify,256,0,OEM:DM,amd64,0,IS_GENUINE,1,x64,win8defender,SSD,windows10,1,069a81cf3f3843ee9e04b8bc6413eca5,0,Pro,0,rs4,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,1
11.0,0,0,0,Notebook,UNKNOWN,768,0,Volume:GVLK,amd64,0,INVALID_LICENSE,0,x64,win8defender,HDD,windows10,1,baea2d6a59efbed2582cb6f1e95af9a7,0,Home,0,th1,NOT_SET,IBSClean,Windows.Desktop,RequireAdmin,0
10.0,0,0,0,Notebook,UNKNOWN,768,0,Retail,x86,0,IS_GENUINE,0,x86,win8defender,HDD,windows10,1,2ebee1382e1c2d732a00903904f4275b,0,Home,0,rs2,Retail,Reset,Windows.Desktop,ExistsNotSet,1
3.0,0,1,0,Notebook,UNKNOWN,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,2800677e5475738331cba99d50144547,0,Home,0,rs3,Retail,UUPUpgrade,Windows.Desktop,ExistsNotSet,1
1.0,0,0,0,AllInOne,UNKNOWN,256,0,Retail,amd64,0,OFFLINE,0,x64,win8defender,SSD,windows10,1,93740bd6219e8cd2d16b462e7b25f87d,0,Pro,0,rs4,Retail,IBSClean,Windows.Desktop,ExistsNotSet,1
10.0,0,1,0,Notebook,FullAuto,768,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,87547dd43305798c87f7dc9ef0fda3b2,0,Home,0,th1,Retail,Update,Windows.Desktop,RequireAdmin,1
15.0,0,1,0,Notebook,FullAuto,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,b6c5c8d5b6ccdc867b5360f1d3af7d29,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,0
10.0,0,0,0,Notebook,FullAuto,256,0,Retail,x86,0,IS_GENUINE,0,x86,win8defender,UNKNOWN,windows10,1,d3923a944c362f15e3450811552c5272,0,Pro,0,rs4,Retail,Upgrade,Windows.Desktop,ExistsNotSet,1
11.0,0,1,0,Notebook,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,11e88ae1b0830a1f3453c66ee3cf0d96,0,Home,0,rs3,Retail,Upgrade,Windows.Desktop,ExistsNotSet,0
1.0,1,1,0,Convertible,FullAuto,256,0,Retail,amd64,0,IS_GENUINE,1,x64,win8defender,HDD,windows10,1,8daa238c62f7496f757cb1ca8c3a08d8,0,Pro,0,rs4,Retail,UUPUpgrade,Windows.Desktop,RequireAdmin,0
10.0,1,1,0,Notebook,UNKNOWN,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,SSD,windows10,1,71f6f07ac98869e5ec38f8dd2723e785,0,Home,0,th1,NOT_SET,Reset,Windows.Desktop,RequireAdmin,1
10.0,0,1,0,Notebook,Notify,768,0,OEM:DM,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,41083e14f4ca0faaf9d5c6a761146705,0,Home,0,rs4,Retail,UUPUpgrade,Windows.Desktop,Warn,1
1.0,1,1,0,Detachable,FullAuto,768,0,Retail,x86,0,IS_GENUINE,1,x86,win8defender,SSD,windows10,1,efad81418411363c10527c1836d2ab8e,0,Home,0,rs3,Retail,Upgrade,Windows.Desktop,ExistsNotSet,1
1.0,0,0,0,Desktop,UNKNOWN,256,0,Retail,amd64,0,INVALID_LICENSE,0,x64,win8defender,HDD,windows10,1,9d9d4fa8e8284c67df942a7cdad590b3,0,Pro,0,rs3,Retail,Upgrade,Windows.Desktop,ExistsNotSet,1
5.0,0,0,0,Desktop,FullAuto,256,0,Retail,amd64,0,IS_GENUINE,0,x64,win8defender,HDD,windows10,1,a484c878a6cc7c71e72bfdab5ba32f64,0,Pro,0,rs4,Retail,IBSClean,Windows.Desktop,ExistsNotSet,0
